Education,Education_Level,Total_Consumption,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
Graduation,3,55,13,6,15,3,5,13
Graduation,3,124,48,5,48,6,10,7
PhD,5,1319,826,50,317,50,38,38
Graduation,3,507,245,19,125,37,67,14
Master,4,1693,650,37,780,27,167,32
Graduation,3,72,12,6,20,30,1,3
Graduation,3,1617,510,120,550,156,40,241
Graduation,3,606,328,9,124,12,24,109
Master,4,1957,984,51,432,180,120,190
Graduation,3,1093,295,35,482,121,120,40
Graduation,3,29,13,0,8,2,1,5
Graduation,3,46,11,3,22,2,2,6
PhD,5,518,447,0,28,0,0,43
Master,4,1438,712,26,538,69,13,80
Graduation,3,612,452,18,102,16,18,6
Graduation,3,884,523,7,134,37,14,169
PhD,5,606,546,0,48,0,6,6
Graduation,3,1076,398,40,367,119,122,30
Graduation,3,34,1,3,6,3,6,15
Graduation,3,11,10,0,1,0,0,0
2n Cycle,2,1274,688,14,309,201,24,38
Graduation,3,653,247,49,159,7,82,109
Graduation,3,1562,856,59,487,58,29,73
Master,4,1253,496,36,460,189,60,12
2n Cycle,2,109,25,3,43,17,4,17
Graduation,3,863,258,107,291,84,37,86
PhD,5,661,565,6,65,0,6,19
Graduation,3,65,14,10,13,4,15,9
Graduation,3,13,2,1,6,2,1,1
Master,4,1890,721,111,925,97,18,18
Graduation,3,2209,1032,105,779,137,105,51
2n Cycle,2,18,1,0,5,0,3,9
Graduation,3,692,577,0,64,0,0,51
Graduation,3,165,64,4,68,7,5,17
Graduation,3,16,4,1,5,2,0,4
2n Cycle,2,79,25,5,19,7,0,23
Master,4,318,112,17,44,34,22,89
Graduation,3,778,163,23,424,27,65,76
Graduation,3,56,17,8,14,10,4,3
Master,4,151,130,0,16,0,0,5
Graduation,3,372,292,6,37,0,3,34
Graduation,3,1366,350,60,568,110,133,145
Graduation,3,194,135,9,39,4,0,7
PhD,5,603,230,42,192,49,37,53
Graduation,3,18,7,0,8,2,0,1
Master,4,985,445,37,359,98,28,18
Master,4,32,15,2,10,0,1,4
PhD,5,43,27,2,14,0,0,0
Graduation,3,45,5,3,11,12,5,9
Graduation,3,606,505,0,26,0,0,75
Graduation,3,63,51,2,7,0,1,2
2n Cycle,2,978,207,26,447,75,0,223
PhD,5,410,135,46,92,65,61,11
2n Cycle,2,72,53,1,5,2,1,10
PhD,5,55,41,1,6,2,0,5
Graduation,3,1169,386,172,183,185,132,111
PhD,5,1120,562,81,276,80,40,81
Graduation,3,1097,217,76,690,50,26,38
Basic,1,29,1,3,6,10,0,9
Graduation,3,187,144,1,32,2,1,7
Graduation,3,910,295,106,271,75,98,65
Graduation,3,145,76,3,31,4,4,27
Master,4,850,454,194,106,31,22,43
Graduation,3,969,425,115,292,23,35,79
PhD,5,1820,1332,17,311,23,51,86
Master,4,608,527,0,21,0,0,60
Graduation,3,730,490,44,125,29,20,22
PhD,5,551,378,0,101,0,0,72
Graduation,3,114,64,1,21,0,1,27
Graduation,3,1724,547,99,812,151,82,33
2n Cycle,2,577,47,90,94,123,103,120
2n Cycle,2,81,12,5,25,0,9,30
Graduation,3,33,1,6,7,11,5,3
Master,4,660,320,48,133,39,72,48
Master,4,80,34,3,29,0,4,10
Master,4,30,9,0,7,3,4,7
Graduation,3,43,17,0,14,7,3,2
Graduation,3,1135,722,27,102,44,72,168
2n Cycle,2,559,162,33,124,40,28,172
Graduation,3,1923,450,133,951,173,0,216
Master,4,90,70,0,16,0,0,4
PhD,5,404,352,0,27,10,0,15
PhD,5,661,492,19,110,16,12,12
Graduation,3,463,120,58,73,65,89,58
Master,4,632,534,5,47,0,5,41
Graduation,3,725,236,106,189,23,41,130
Graduation,3,725,231,65,196,38,71,124
PhD,5,279,220,0,33,3,0,23
PhD,5,1482,796,14,590,38,44,0
Basic,1,29,0,1,3,10,6,9
PhD,5,106,53,1,34,2,0,16
PhD,5,49,15,0,8,4,2,20
PhD,5,38,17,1,12,3,1,4
Master,4,2077,962,61,921,52,61,20
Master,4,1053,738,0,232,13,20,50
Graduation,3,1385,399,28,756,36,40,126
PhD,5,871,614,16,132,43,33,33
Graduation,3,312,32,34,41,73,16,116
Graduation,3,877,598,16,141,32,41,49
Graduation,3,68,2,1,18,20,11,16
Graduation,3,22,6,1,10,0,1,4
2n Cycle,2,211,73,3,90,12,1,32
Master,4,127,42,16,29,12,20,8
Master,4,459,295,21,78,39,13,13
Graduation,3,460,346,17,48,23,13,13
2n Cycle,2,429,233,20,57,8,20,91
Graduation,3,89,5,7,24,19,14,20
PhD,5,1021,888,0,57,0,0,76
Graduation,3,1381,997,26,269,34,13,42
Graduation,3,306,212,6,69,4,12,3
Graduation,3,18,8,1,7,2,0,0
Graduation,3,162,42,11,57,10,28,14
Graduation,3,1231,536,11,387,149,91,57
Master,4,13,5,0,3,0,0,5
PhD,5,1706,1349,16,249,43,16,33
Graduation,3,121,53,3,49,7,4,5
PhD,5,1293,1001,12,240,16,12,12
PhD,5,1608,20,2,1582,1,2,1
Graduation,3,88,18,1,32,6,3,28
Graduation,3,421,125,16,98,134,21,27
Graduation,3,259,212,5,33,7,0,2
Graduation,3,1117,277,162,305,173,76,124
Graduation,3,89,15,10,19,8,17,20
Graduation,3,36,7,3,10,8,1,7
Graduation,3,57,12,4,6,11,8,16
Graduation,3,148,85,7,24,2,3,27
PhD,5,93,81,0,6,0,0,6
Graduation,3,119,59,0,12,0,0,48
PhD,5,1835,1149,71,449,69,71,26
PhD,5,1318,847,66,119,86,89,111
PhD,5,45,29,0,14,0,0,2
Graduation,3,10,2,0,5,2,0,1
2n Cycle,2,978,207,26,447,75,0,223
PhD,5,191,152,3,22,2,5,7
2n Cycle,2,57,12,11,10,3,12,9
Master,4,1033,620,26,195,34,17,141
Master,4,66,47,1,6,0,0,12
Basic,1,43,1,9,7,2,14,10
Graduation,3,50,10,1,18,10,4,7
PhD,5,39,35,0,2,0,0,2
Graduation,3,608,356,0,107,19,9,117
Graduation,3,1581,783,30,537,140,76,15
PhD,5,68,42,1,18,3,0,4
Basic,1,80,1,4,10,29,0,36
PhD,5,1282,466,22,432,147,113,102
2n Cycle,2,65,15,6,8,7,4,25
Graduation,3,91,23,3,21,3,19,22
Graduation,3,315,235,6,45,8,9,12
Graduation,3,31,10,0,10,3,1,7
Master,4,834,656,16,106,32,16,8
Graduation,3,1600,519,17,813,27,173,51
Graduation,3,1270,344,189,482,50,33,172
PhD,5,263,96,1,79,7,1,79
Graduation,3,535,448,4,34,6,4,39
Graduation,3,1295,265,138,553,224,23,92
Graduation,3,1150,587,43,337,42,87,54
PhD,5,1240,763,29,138,76,176,58
PhD,5,38,22,0,13,0,0,3
Master,4,35,6,4,1,7,2,15
Graduation,3,53,7,6,13,7,6,14
Master,4,293,81,18,113,47,13,21
Graduation,3,65,54,0,7,0,0,4
Graduation,3,1804,1170,48,320,42,32,192
Graduation,3,241,72,24,68,65,4,8
Graduation,3,1101,613,22,319,33,102,12
PhD,5,264,224,0,30,0,0,10
Master,4,541,410,0,59,19,9,44
Graduation,3,1198,239,10,554,254,87,54
Graduation,3,482,171,7,171,25,19,89
2n Cycle,2,17,12,0,4,0,0,1
Master,4,1615,1076,16,417,42,48,16
Master,4,285,182,4,33,0,0,66
Graduation,3,1135,824,32,162,42,32,43
2n Cycle,2,114,30,11,25,29,1,18
Graduation,3,1047,377,10,540,80,30,10
PhD,5,714,520,7,154,19,0,14
PhD,5,185,155,1,25,0,1,3
Graduation,3,1245,897,23,207,15,11,92
Graduation,3,189,131,0,16,2,1,39
Graduation,3,576,297,7,79,0,11,182
Graduation,3,1103,787,20,204,0,0,92
PhD,5,1753,792,86,740,67,51,17
PhD,5,17,4,1,9,3,0,0
Graduation,3,433,231,7,137,4,15,39
2n Cycle,2,1588,983,76,184,180,138,27
Graduation,3,22,3,1,8,4,3,3
Graduation,3,19,0,4,5,6,0,4
PhD,5,1117,562,21,464,28,10,32
2n Cycle,2,69,5,9,20,6,8,21
Master,4,23,18,0,4,0,0,1
PhD,5,605,415,5,124,15,35,11
Graduation,3,57,5,3,10,12,7,20
2n Cycle,2,22,8,0,5,7,0,2
Graduation,3,2088,901,61,757,186,163,20
Graduation,3,1009,382,114,276,75,124,38
Graduation,3,26,14,1,7,2,1,1
Graduation,3,1627,559,153,503,218,13,181
Graduation,3,1102,789,0,133,0,28,152
PhD,5,17,11,0,5,0,0,1
Graduation,3,1690,1218,16,272,104,0,80
Graduation,3,1390,925,64,179,133,12,77
PhD,5,2126,864,134,768,150,38,172
Master,4,1531,960,28,183,220,70,70
Master,4,64,16,3,25,6,1,13
Graduation,3,26,3,3,7,0,2,11
Graduation,3,1112,168,148,444,32,172,148
2n Cycle,2,210,45,47,52,21,20,25
Graduation,3,1148,650,28,353,45,42,30
PhD,5,33,24,0,8,0,0,1
PhD,5,1101,918,21,118,13,10,21
Graduation,3,322,138,33,87,28,24,12
Graduation,3,44,12,4,2,10,6,10
PhD,5,17,11,0,4,0,0,2
Graduation,3,31,1,2,8,4,3,13
PhD,5,845,554,41,215,11,0,24
Master,4,275,167,2,62,24,13,7
PhD,5,25,9,0,6,4,1,5
Master,4,275,177,2,71,3,2,20
Master,4,90,38,4,22,4,2,20
Graduation,3,1495,483,84,398,205,84,241
PhD,5,184,77,2,35,0,1,69
Graduation,3,981,182,74,298,162,149,116
Graduation,3,67,10,7,19,8,2,21
Graduation,3,1635,778,44,499,95,73,146
Master,4,60,16,7,23,0,8,6
PhD,5,231,167,0,43,6,2,13
Graduation,3,48,13,2,14,8,7,4
Graduation,3,99,33,6,40,3,7,10
PhD,5,770,625,7,99,10,22,7
Graduation,3,957,216,162,224,101,92,162
Master,4,818,68,129,396,188,22,15
PhD,5,925,196,0,512,33,130,54
Master,4,908,635,15,100,20,7,131
Basic,1,102,4,19,9,28,25,17
Graduation,3,576,297,7,79,0,11,182
Graduation,3,317,84,5,38,150,12,28
PhD,5,461,204,7,149,20,15,66
Master,4,37,26,0,8,0,0,3
Graduation,3,70,15,6,20,4,5,20
Graduation,3,930,304,98,230,150,74,74
Master,4,859,285,28,242,55,114,135
Graduation,3,1478,395,183,565,166,141,28
Master,4,390,248,3,81,4,3,51
2n Cycle,2,52,20,6,5,0,9,12
Graduation,3,137,39,0,56,20,8,14
Graduation,3,1919,777,129,573,216,21,203
Graduation,3,68,8,3,22,21,1,13
Graduation,3,25,9,1,3,0,4,8
Master,4,1374,1241,0,80,0,13,40
2n Cycle,2,32,6,4,7,4,3,8
Master,4,100,65,4,16,0,4,11
Graduation,3,825,395,15,263,60,54,38
PhD,5,916,801,0,80,0,0,35
Graduation,3,62,36,0,12,2,2,10
2n Cycle,2,728,513,14,154,19,0,28
PhD,5,90,37,0,46,4,3,0
Graduation,3,273,80,15,93,20,13,52
Graduation,3,66,14,1,21,2,3,25
Master,4,1213,525,147,112,219,147,63
Graduation,3,107,1,26,25,17,23,15
Graduation,3,1157,675,11,400,15,45,11
Master,4,546,509,0,27,0,0,10
Master,4,241,154,2,46,20,4,15
Graduation,3,53,3,5,14,2,12,17
Graduation,3,37,25,0,8,2,0,2
Graduation,3,1611,861,138,461,60,30,61
Master,4,1508,768,44,561,77,44,14
Graduation,3,235,185,0,28,3,2,17
Master,4,32,24,0,7,0,0,1
Graduation,3,102,44,4,21,6,0,27
Graduation,3,401,91,64,128,65,3,50
Graduation,3,28,11,0,7,3,1,6
Graduation,3,1052,738,20,172,52,50,20
Graduation,3,680,412,5,119,38,29,77
Graduation,3,30,3,3,7,6,2,9
PhD,5,20,16,0,3,0,0,1
PhD,5,1307,731,60,353,78,12,73
Graduation,3,630,424,17,118,7,23,41
Graduation,3,1283,792,0,275,45,45,126
PhD,5,65,21,2,28,3,2,9
Graduation,3,37,22,1,11,0,1,2
PhD,5,38,33,0,5,0,0,0
PhD,5,160,68,7,59,10,5,11
Graduation,3,23,9,1,6,3,0,4
PhD,5,71,40,2,15,8,0,6
PhD,5,1161,909,11,218,0,0,23
Master,4,59,23,1,13,2,2,18
Graduation,3,33,11,2,9,3,0,8
Graduation,3,946,317,46,247,151,46,139
Graduation,3,1442,797,153,293,72,97,30
Graduation,3,62,10,2,16,11,2,21
Graduation,3,1674,856,61,570,40,25,122
PhD,5,1853,755,144,562,104,64,224
Graduation,3,1538,456,19,832,75,118,38
Graduation,3,139,37,32,38,11,3,18
PhD,5,1182,1103,0,45,0,0,34
PhD,5,507,378,14,68,19,14,14
Basic,1,18,1,6,7,0,1,3
Graduation,3,940,204,34,204,172,153,173
Graduation,3,42,30,0,9,0,0,3
Graduation,3,1190,189,104,379,111,189,218
Graduation,3,44,15,0,12,7,3,7
Master,4,16,9,0,3,0,0,4
Graduation,3,835,495,33,255,11,33,8
Graduation,3,1443,656,80,455,52,107,93
PhD,5,1029,452,20,514,13,30,0
Graduation,3,1188,546,91,410,119,0,22
PhD,5,1277,1048,0,217,0,0,12
Graduation,3,49,22,2,14,0,1,10
Graduation,3,99,78,0,11,0,0,10
PhD,5,1670,561,64,785,84,128,48
Master,4,900,629,17,177,69,0,8
PhD,5,425,269,15,69,15,19,38
Graduation,3,2153,736,163,818,212,163,61
PhD,5,636,512,0,83,0,0,41
Graduation,3,57,19,3,10,11,8,6
PhD,5,25,9,0,6,4,1,5
Graduation,3,494,247,8,160,6,8,65
Graduation,3,693,404,0,92,28,27,142
Graduation,3,1348,333,0,815,129,42,29
Graduation,3,51,2,3,20,6,11,9
Graduation,3,1932,833,33,549,151,133,233
PhD,5,990,789,0,142,12,9,38
2n Cycle,2,30,10,4,7,0,6,3
Graduation,3,254,159,4,45,6,2,38
Master,4,29,7,1,6,3,1,11
Graduation,3,1371,977,12,253,16,12,101
PhD,5,73,38,4,22,3,3,3
Master,4,120,57,0,27,0,0,36
Graduation,3,81,3,9,15,13,2,39
Graduation,3,37,10,4,14,4,4,1
PhD,5,1377,1043,24,97,32,24,157
Graduation,3,51,3,9,13,2,12,12
PhD,5,17,11,0,5,0,0,1
Graduation,3,22,3,6,5,0,2,6
Graduation,3,324,43,12,96,78,40,55
2n Cycle,2,211,73,3,90,12,1,32
Master,4,19,12,0,1,0,0,6
Graduation,3,41,4,7,7,6,4,13
Master,4,492,314,11,53,4,3,107
Graduation,3,1005,571,50,142,33,50,159
Graduation,3,114,70,0,11,2,8,23
PhD,5,1173,866,21,151,28,21,86
Graduation,3,1738,594,134,786,33,134,57
Master,4,222,140,4,61,0,13,4
Graduation,3,1127,375,152,335,93,91,81
PhD,5,209,102,9,63,2,9,24
Master,4,787,554,35,113,0,7,78
PhD,5,1598,919,0,505,99,30,45
Graduation,3,186,96,1,42,12,3,32
Graduation,3,47,5,2,16,3,2,19
Graduation,3,27,2,0,6,8,6,5
2n Cycle,2,96,6,4,9,6,36,35
2n Cycle,2,64,23,1,25,0,8,7
Graduation,3,1040,610,105,125,137,42,21
Graduation,3,163,67,5,61,3,8,19
Graduation,3,343,65,36,74,38,20,110
PhD,5,446,416,0,26,0,0,4
Graduation,3,41,23,0,11,3,2,2
PhD,5,70,19,3,26,10,9,3
PhD,5,272,155,7,80,13,7,10
PhD,5,46,14,0,24,3,3,2
Graduation,3,490,370,9,92,6,9,4
2n Cycle,2,79,4,22,11,3,7,32
Graduation,3,915,407,53,221,58,150,26
PhD,5,1485,1200,0,204,38,29,14
Graduation,3,369,85,44,54,102,78,6
Graduation,3,1073,583,34,309,0,22,125
PhD,5,1242,483,0,591,156,0,12
2n Cycle,2,78,2,5,9,28,6,28
Graduation,3,1378,966,26,282,52,26,26
Graduation,3,1474,822,114,108,179,137,114
Master,4,751,604,0,100,19,0,28
PhD,5,48,19,3,19,3,1,3
Graduation,3,45,5,3,11,12,5,9
Master,4,10,2,2,2,2,1,1
Master,4,1435,1076,68,103,29,91,68
PhD,5,2119,1285,42,716,55,0,21
Graduation,3,20,10,0,7,2,0,1
Graduation,3,1795,551,137,792,179,103,33
Graduation,3,1188,800,0,297,0,34,57
2n Cycle,2,43,2,2,11,10,6,12
Graduation,3,1008,378,0,189,97,172,172
PhD,5,1688,1248,16,349,43,16,16
Graduation,3,684,235,0,235,19,4,191
2n Cycle,2,1082,515,47,181,149,95,95
Graduation,3,1068,438,66,400,12,38,114
Graduation,3,57,25,0,22,2,3,5
Master,4,46,31,0,7,2,0,6
Graduation,3,733,357,35,271,28,28,14
Master,4,467,400,4,35,6,0,22
PhD,5,122,99,0,15,2,1,5
2n Cycle,2,36,1,11,5,4,6,9
Graduation,3,34,5,4,13,8,0,4
PhD,5,156,77,28,31,16,0,4
Graduation,3,14,3,1,2,4,3,1
Graduation,3,37,10,4,14,4,4,1
2n Cycle,2,34,0,6,3,7,6,12
Graduation,3,20,0,0,1,2,12,5
Master,4,192,76,14,74,13,5,10
Graduation,3,1379,398,190,537,61,156,37
Graduation,3,48,14,7,11,11,0,5
PhD,5,428,208,7,82,30,66,35
Graduation,3,868,430,16,322,43,24,33
Graduation,3,1001,656,38,161,62,47,37
Master,4,59,14,2,30,8,2,3
2n Cycle,2,431,141,70,106,72,19,23
Graduation,3,971,507,19,364,25,47,9
Graduation,3,348,164,24,103,12,3,42
2n Cycle,2,2059,606,24,974,197,194,64
Master,4,265,116,11,72,3,17,46
Graduation,3,270,143,15,60,24,23,5
2n Cycle,2,1289,398,96,447,220,96,32
Graduation,3,893,522,0,257,32,16,66
Graduation,3,926,161,0,253,199,191,122
PhD,5,135,112,0,6,2,1,14
Graduation,3,1495,483,84,398,205,84,241
Graduation,3,120,7,5,39,17,15,37
PhD,5,1288,789,25,420,16,38,0
PhD,5,1743,1239,17,413,23,34,17
Graduation,3,15,4,1,5,2,0,3
Graduation,3,542,335,42,127,28,5,5
PhD,5,890,639,8,166,11,8,58
Graduation,3,1388,563,76,384,84,192,89
Graduation,3,17,2,0,8,2,2,3
PhD,5,906,746,8,125,11,8,8
Graduation,3,44,22,1,13,4,0,4
Graduation,3,25,4,1,6,4,1,9
Graduation,3,973,478,0,193,110,75,117
PhD,5,31,20,3,4,2,0,2
Master,4,518,451,0,39,0,4,24
PhD,5,530,371,22,39,6,0,92
Graduation,3,506,281,7,84,15,0,119
Master,4,70,19,7,19,0,1,24
Master,4,54,26,3,13,2,10,0
Graduation,3,296,138,15,35,25,11,72
Graduation,3,266,213,2,44,0,2,5
Master,4,747,407,28,100,120,74,18
PhD,5,895,483,74,114,169,37,18
Master,4,1053,738,0,232,13,20,50
Graduation,3,735,502,12,109,16,6,90
Graduation,3,20,11,0,5,2,1,1
2n Cycle,2,205,24,1,108,29,29,14
PhD,5,2092,1170,19,594,99,76,134
Graduation,3,309,185,2,88,15,5,14
Graduation,3,1722,983,20,389,240,50,40
Master,4,900,691,0,69,10,0,130
PhD,5,682,504,13,131,8,0,26
Master,4,663,317,25,265,25,19,12
Graduation,3,43,29,1,9,2,0,2
PhD,5,1816,1396,0,322,46,35,17
PhD,5,976,529,0,356,63,28,0
Graduation,3,746,388,14,218,91,14,21
Graduation,3,64,13,2,21,4,0,24
Master,4,32,28,0,4,0,0,0
Basic,1,263,16,36,21,20,62,108
PhD,5,1445,1047,0,140,67,38,153
Master,4,46,31,0,7,2,0,6
Graduation,3,1210,815,10,239,28,10,108
Graduation,3,945,225,162,387,106,36,29
Graduation,3,1157,493,70,324,146,40,84
Graduation,3,137,34,4,66,3,10,20
Graduation,3,730,382,138,65,60,26,59
PhD,5,216,127,1,56,0,1,31
Graduation,3,943,325,83,300,86,58,91
Graduation,3,347,238,17,68,8,10,6
Master,4,1924,1168,92,408,72,129,55
PhD,5,397,284,0,55,0,6,52
Master,4,2089,1288,20,613,80,61,27
Graduation,3,138,65,0,46,4,3,20
Graduation,3,42,11,7,9,3,1,11
Graduation,3,777,227,23,389,42,21,75
Master,4,1902,1035,134,670,25,38,0
Graduation,3,52,27,1,12,2,0,10
Master,4,1651,982,73,351,56,14,175
Graduation,3,358,179,2,64,38,17,58
Graduation,3,1727,1379,33,216,0,33,66
Graduation,3,210,32,1,64,16,12,85
Graduation,3,42,8,4,15,7,6,2
PhD,5,1291,881,38,319,16,25,12
Master,4,442,141,15,153,67,31,35
Graduation,3,1895,1000,155,379,224,17,120
PhD,5,411,206,10,67,30,27,71
2n Cycle,2,521,162,61,83,97,57,61
Graduation,3,1168,619,54,260,127,54,54
Master,4,493,456,4,24,0,0,9
Graduation,3,260,112,6,92,3,9,38
Graduation,3,46,11,3,22,2,2,6
Master,4,319,172,12,112,8,0,15
Graduation,3,96,78,0,11,0,0,7
Graduation,3,1062,464,151,292,65,60,30
2n Cycle,2,232,99,4,32,37,54,6
Master,4,76,19,3,19,4,5,26
2n Cycle,2,54,1,9,8,11,3,22
Graduation,3,201,63,10,83,7,19,19
PhD,5,406,252,3,42,4,3,102
PhD,5,1919,1478,19,403,0,19,0
Graduation,3,662,198,18,252,32,108,54
2n Cycle,2,41,8,4,10,6,7,6
Graduation,3,1600,416,46,925,60,107,46
Graduation,3,134,42,7,43,20,12,10
Graduation,3,69,14,3,21,2,1,28
Master,4,21,17,0,3,0,0,1
2n Cycle,2,54,15,4,10,3,4,18
Graduation,3,91,6,16,24,11,0,34
PhD,5,526,458,0,24,6,4,34
Graduation,3,162,30,3,47,19,21,42
Master,4,1008,179,28,520,111,123,47
Graduation,3,240,90,17,97,15,6,15
PhD,5,795,308,85,137,102,45,118
Graduation,3,1772,557,129,761,29,185,111
2n Cycle,2,64,7,4,13,15,8,17
Graduation,3,1957,1492,38,287,50,57,33
Graduation,3,78,30,8,12,8,8,12
Graduation,3,1572,249,153,940,58,134,38
Master,4,795,465,25,132,136,0,37
2n Cycle,2,889,129,129,259,168,121,83
PhD,5,331,174,18,81,28,6,24
PhD,5,265,189,2,29,3,2,40
Graduation,3,1065,747,10,161,65,40,42
Master,4,11,6,0,2,2,0,1
Graduation,3,21,14,0,3,0,0,4
Graduation,3,17,12,0,4,0,0,1
Graduation,3,369,98,0,106,49,10,106
PhD,5,38,32,0,5,0,0,1
2n Cycle,2,177,51,12,49,17,24,24
PhD,5,279,200,5,44,0,10,20
Master,4,62,25,6,25,6,0,0
PhD,5,1230,1050,12,144,0,0,24
Graduation,3,182,117,0,22,13,0,30
Graduation,3,49,9,4,17,10,2,7
PhD,5,75,56,0,11,0,0,8
Master,4,227,145,13,46,17,2,4
PhD,5,215,203,0,10,0,0,2
Graduation,3,444,270,3,27,39,6,99
2n Cycle,2,47,9,0,16,6,6,10
Master,4,143,37,12,23,8,11,52
Graduation,3,55,46,0,7,0,0,2
2n Cycle,2,63,31,1,13,7,2,9
Graduation,3,1867,1060,21,530,32,0,224
Master,4,611,264,47,188,54,47,11
Graduation,3,473,399,4,30,6,4,30
Graduation,3,55,8,9,9,2,5,22
PhD,5,81,19,0,35,6,4,17
Master,4,2086,817,183,797,106,163,20
Master,4,1478,292,127,635,132,127,165
Graduation,3,49,12,6,2,11,2,16
PhD,5,382,130,30,168,20,34,0
Master,4,69,6,4,16,3,10,30
Graduation,3,67,16,12,18,7,1,13
Master,4,30,19,0,9,0,0,2
2n Cycle,2,63,4,7,15,13,9,15
Graduation,3,79,31,3,31,2,8,4
Graduation,3,42,36,0,2,0,0,4
Graduation,3,819,526,28,135,10,21,99
Graduation,3,1151,400,32,519,71,75,54
PhD,5,594,410,16,114,0,5,49
Master,4,129,80,3,26,4,2,14
Master,4,213,88,10,46,2,3,64
Graduation,3,67,55,0,6,2,0,4
Graduation,3,28,5,1,13,3,5,1
Basic,1,45,8,4,5,15,2,11
Graduation,3,1193,410,0,592,147,22,22
Master,4,268,101,13,76,20,18,40
Master,4,266,162,25,53,16,0,10
Basic,1,37,2,8,1,4,7,15
Graduation,3,37,25,0,8,2,0,2
PhD,5,882,389,91,248,64,49,41
Graduation,3,373,215,13,87,17,17,24
Master,4,35,27,0,5,0,0,3
PhD,5,107,85,1,16,2,1,2
Graduation,3,42,5,6,10,6,5,10
Master,4,326,179,8,83,19,11,26
PhD,5,404,352,0,27,10,0,15
Graduation,3,95,17,8,12,11,15,32
Graduation,3,939,625,35,169,58,17,35
2n Cycle,2,33,10,6,11,0,4,2
2n Cycle,2,981,390,22,323,104,35,107
Graduation,3,36,10,2,15,2,1,6
Graduation,3,1237,215,63,507,231,31,190
Graduation,3,1825,1001,17,572,93,125,17
PhD,5,103,19,18,33,24,1,8
Graduation,3,191,41,5,129,10,3,3
PhD,5,1586,1181,107,199,39,30,30
PhD,5,963,603,45,207,36,18,54
2n Cycle,2,889,129,129,259,168,121,83
2n Cycle,2,93,10,24,15,13,1,30
Graduation,3,1587,514,22,732,42,198,79
Graduation,3,16,14,0,1,0,0,1
Graduation,3,1375,387,20,713,38,54,163
Graduation,3,393,121,103,69,8,44,48
Master,4,1477,965,69,279,54,41,69
Graduation,3,1179,707,21,250,85,43,73
Graduation,3,1005,571,50,142,33,50,159
PhD,5,1348,586,66,653,17,0,26
PhD,5,1307,1063,89,102,16,12,25
Graduation,3,486,305,3,27,4,3,144
Master,4,2252,1200,105,758,0,42,147
PhD,5,235,163,2,40,8,11,11
Graduation,3,1724,1009,181,104,202,21,207
Master,4,235,125,6,73,8,4,19
Master,4,1092,721,0,152,119,50,50
Graduation,3,599,315,4,62,41,31,146
Master,4,2008,1000,19,711,125,115,38
Graduation,3,48,16,0,17,6,3,6
Graduation,3,1174,757,80,217,29,80,11
PhD,5,67,30,2,25,0,1,9
Graduation,3,365,219,3,100,26,0,17
Graduation,3,6,1,1,1,1,1,1
Graduation,3,165,111,3,28,2,6,15
2n Cycle,2,210,45,47,52,21,20,25
PhD,5,1095,410,112,420,0,82,71
PhD,5,223,100,1,39,6,1,76
Graduation,3,597,509,0,65,7,11,5
Graduation,3,22,3,6,5,0,2,6
Graduation,3,1064,445,53,213,104,98,151
