ID,Age,Education,Marital Status,Parental Status,Children,Income,Spent,Customer Loyalty,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Web,Catalog,Store,Discount Purchases,Total Promo,Web Engagement
10383,49,0,0,0,0,70287,1093,453,30,295,35,482,121,120,40,5,5,10,1,0,8
7437,27,0,0,1,1,27938,29,62,31,13,0,8,2,1,5,1,0,4,1,0,4
8375,47,1,1,1,1,55954,518,118,63,447,0,28,0,0,43,8,2,6,3,0,15
6853,33,1,0,0,0,75777,1438,360,12,712,26,538,69,13,80,3,6,11,1,2,4
3076,40,0,1,1,2,66653,612,660,18,452,18,102,16,18,6,4,2,12,4,0,7
1012,63,0,0,1,1,61823,884,496,26,523,7,134,37,14,169,8,2,10,4,0,15
6518,64,1,0,1,1,67680,606,383,8,546,0,48,0,6,6,7,3,8,1,0,12
4137,67,0,1,0,0,70666,1076,205,29,398,40,367,119,122,30,7,4,4,1,0,11
8082,44,0,1,1,1,25721,34,404,75,1,3,6,3,6,15,1,1,2,1,0,8
1386,48,0,1,1,2,32474,11,49,0,10,0,1,0,0,0,1,0,2,1,0,8
9369,36,2,0,1,1,88194,1274,102,19,688,14,309,201,24,38,11,10,10,1,2,16
4477,57,0,1,1,1,69096,653,275,4,247,49,159,7,82,109,5,2,10,1,0,9
1357,45,0,1,1,3,74854,1562,447,90,856,59,487,58,29,73,2,5,5,7,0,7
1402,61,1,1,0,0,66991,1253,656,1,496,36,460,189,60,12,4,8,6,3,0,7
6312,56,0,1,1,1,65031,863,469,29,258,107,291,84,37,86,10,3,13,4,0,17
8132,40,1,1,1,2,60631,661,450,88,565,6,65,0,6,19,9,2,8,5,1,16
1050,63,0,1,0,0,28332,65,60,58,14,10,13,4,15,9,2,1,4,1,0,4
5846,38,0,0,1,1,40246,13,557,68,2,1,6,2,1,1,1,0,2,1,0,7
1859,43,1,1,0,0,75251,1890,671,34,721,111,925,97,18,18,7,6,5,1,0,12
7503,39,0,0,0,0,75825,2209,625,40,1032,105,779,137,105,51,5,8,9,0,1,9
10401,39,2,1,0,0,26326,18,298,12,1,0,5,0,3,9,0,0,3,1,0,3
1618,50,0,1,0,0,56046,692,543,9,577,0,64,0,0,51,10,1,8,2,1,18
3332,30,0,0,1,1,29760,165,669,87,64,4,68,7,5,17,3,1,4,4,0,11
2261,46,0,1,1,1,26304,16,371,5,4,1,5,2,0,4,1,0,2,1,0,8
5346,42,2,1,1,1,23559,79,361,87,25,5,19,7,0,23,3,0,3,3,0,10
4119,52,1,1,0,0,38620,318,414,56,112,17,44,34,22,89,2,5,3,1,0,5
535,28,0,0,0,0,81361,778,124,18,163,23,424,27,65,76,3,10,13,1,0,4
5268,55,0,1,1,2,29440,56,322,95,17,8,14,10,4,3,1,0,4,2,0,8
273,45,1,1,1,2,36138,151,348,48,130,0,16,0,0,5,3,1,4,5,1,10
4452,58,0,0,1,1,50388,372,32,3,292,6,37,0,3,34,6,1,6,4,2,13
8504,42,0,1,0,0,79593,1366,48,70,350,60,568,110,133,145,5,6,7,1,1,7
771,48,0,1,1,1,54178,194,159,79,135,9,39,4,0,7,2,2,5,1,0,4
11178,43,1,0,1,1,42394,32,98,69,15,2,10,0,1,4,1,0,3,1,0,8
2230,45,1,1,1,1,23626,43,36,84,27,2,14,0,0,0,3,1,3,3,0,8
7516,32,0,1,1,1,30096,45,38,30,5,3,11,12,5,9,2,0,3,1,0,8
7247,55,0,0,1,1,47916,606,584,72,505,0,26,0,0,75,7,4,6,5,1,13
11100,43,0,0,1,2,51813,63,444,37,51,2,7,0,1,2,2,0,3,2,0,9
4646,64,2,1,0,0,78497,978,210,44,207,26,447,75,0,223,5,7,12,1,1,7
3037,32,1,1,0,0,50150,410,374,32,135,46,92,65,61,11,5,2,7,2,0,10
1473,55,2,0,1,1,47823,72,341,0,53,1,5,2,1,10,2,0,3,2,0,10
1016,56,1,0,1,1,34554,55,91,43,41,1,6,2,0,5,2,0,3,2,0,8
4518,36,0,1,1,1,85693,1169,435,59,386,172,183,185,132,111,9,5,11,2,0,14
9370,70,1,1,0,0,65846,1120,408,68,562,81,276,80,40,81,6,3,6,1,0,10
8908,56,0,1,0,0,87195,1097,52,35,217,76,690,50,26,38,3,11,5,1,0,4
8373,36,2,1,1,1,24594,29,201,94,1,3,6,10,0,9,1,0,3,1,0,6
7533,51,0,1,1,2,49096,187,278,15,144,1,32,2,1,7,4,1,4,4,0,11
2683,46,0,1,1,2,52413,910,512,56,295,106,271,75,98,65,6,4,12,4,0,12
3629,37,0,0,1,1,38557,145,557,17,76,3,31,4,4,27,3,1,3,2,0,10
10991,55,1,1,0,0,89058,850,569,18,454,194,106,31,22,43,5,4,4,1,0,7
5077,36,0,1,1,1,77298,969,239,46,425,115,292,23,35,79,6,6,11,1,0,9
7431,24,1,0,0,0,68126,1820,596,40,1332,17,311,23,51,86,7,4,5,1,1,16
3267,52,1,1,1,1,57288,608,4,27,527,0,21,0,0,60,8,1,8,3,1,14
999,24,0,0,0,0,86037,730,543,95,490,44,125,29,20,22,6,7,11,1,2,9
9215,35,1,1,1,1,43974,551,564,19,378,0,101,0,0,72,6,4,6,5,0,13
2286,53,0,0,1,2,50785,114,292,27,64,1,21,0,1,27,2,1,3,2,0,8
1592,45,0,1,0,0,90765,1724,156,25,547,99,812,151,82,33,4,6,5,0,2,5
367,37,2,1,1,1,36550,577,495,74,47,90,94,123,103,120,9,1,5,5,0,18
5234,48,2,1,1,2,30753,81,353,85,12,5,25,0,9,30,1,1,3,2,0,6
9862,46,0,1,1,1,21918,33,227,37,1,6,7,11,5,3,2,0,3,2,0,8
9805,62,1,1,1,1,56129,660,374,65,320,48,133,39,72,48,6,2,10,4,0,10
6205,48,1,0,1,1,32557,80,125,13,34,3,29,0,4,10,2,1,3,3,0,7
8442,30,1,1,1,2,19510,30,298,63,9,0,7,3,4,7,1,0,3,2,0,8
7386,39,0,0,1,1,30992,43,433,83,17,0,14,7,3,2,1,0,3,1,0,8
7215,32,0,0,0,0,101970,1135,474,69,722,27,102,44,72,168,6,8,13,0,3,8
1491,50,2,1,0,0,71488,559,496,87,162,33,124,40,28,172,3,4,7,2,0,4
11071,31,0,0,0,0,79607,1923,434,37,450,133,951,173,0,216,3,6,6,1,0,4
3381,62,1,1,1,2,54348,90,21,51,70,0,16,0,0,4,2,0,4,2,0,8
11051,59,1,1,1,2,77376,661,50,72,492,19,110,16,12,12,6,3,10,4,0,10
8026,63,0,1,1,1,62998,463,272,10,120,58,73,65,89,58,5,4,5,5,0,10
433,57,1,0,1,2,61331,632,476,42,534,5,47,0,5,41,11,1,6,5,0,19
9597,46,0,1,0,0,73448,725,139,10,236,106,189,23,41,130,7,2,9,1,0,11
5290,51,1,1,1,2,41551,279,319,51,220,0,33,3,0,23,5,1,5,5,0,13
1685,48,1,1,0,0,62981,1482,469,21,796,14,590,38,44,0,4,5,13,1,1,7
5342,39,2,0,1,1,9548,29,690,31,0,1,3,10,6,9,1,0,3,2,0,9
9579,56,1,1,1,3,33762,106,357,61,53,1,34,2,0,16,2,2,2,3,0,10
7660,42,1,0,1,2,35860,49,41,37,15,0,8,4,2,20,1,1,2,2,1,6
1461,50,1,0,1,2,36921,38,336,74,17,1,12,3,1,4,2,0,3,2,0,9
821,23,1,0,0,0,92859,2077,618,46,962,61,921,52,61,20,5,4,12,1,0,7
11084,39,1,1,1,1,65104,1053,227,4,738,0,232,13,20,50,3,5,7,2,0,10
8690,53,0,1,0,0,86111,1385,436,73,399,28,756,36,40,126,5,7,10,1,0,7
2937,41,1,0,1,1,68352,871,305,47,614,16,132,43,33,33,8,5,9,3,0,14
9701,27,0,1,1,1,41883,312,467,13,32,34,41,73,16,116,4,2,3,3,0,11
9949,39,0,1,1,2,59809,877,619,36,598,16,141,32,41,49,3,3,6,3,0,11
10837,40,0,1,1,1,23957,68,609,47,2,1,18,20,11,16,2,0,3,1,0,8
3120,34,0,1,1,1,38547,22,305,49,6,1,10,0,1,4,1,0,2,1,0,9
5885,42,2,1,1,3,35688,211,676,94,73,3,90,12,1,32,4,1,4,7,0,12
4050,49,1,1,0,0,49605,127,8,65,42,16,29,12,20,8,2,1,4,1,0,5
3830,62,1,1,1,2,59354,459,66,59,295,21,78,39,13,13,4,4,7,1,0,7
7987,46,0,1,1,1,65747,460,114,96,346,17,48,23,13,13,8,1,6,4,1,14
7798,43,2,1,1,1,46344,429,562,28,233,20,57,8,20,91,7,1,5,4,0,14
92,27,0,0,1,1,34176,89,48,12,5,7,24,19,14,20,3,0,4,4,0,9
7055,63,1,1,1,1,61010,1021,628,57,888,0,57,0,0,76,8,5,11,2,0,13
10240,66,0,1,0,0,69372,1381,495,10,997,26,269,34,13,42,10,4,6,1,2,14
3025,57,0,0,1,1,49967,306,356,4,212,6,69,4,12,3,6,1,5,3,0,13
9283,37,0,0,1,3,60199,18,290,49,8,1,7,2,0,0,0,0,3,1,0,4
9970,38,0,1,1,1,55375,162,255,3,42,11,57,10,28,14,1,1,6,1,0,3
2730,60,0,0,0,0,80317,1231,313,64,536,11,387,149,91,57,3,4,10,1,0,4
2795,57,1,0,1,3,30523,13,363,0,5,0,3,0,0,5,1,0,2,1,0,8
9260,70,1,1,0,0,70356,1706,601,20,1349,16,249,43,16,33,10,6,9,2,0,16
8182,31,0,1,1,1,23228,121,175,91,53,3,49,7,4,5,3,0,4,4,0,11
10095,40,1,0,0,0,74165,1293,424,9,1001,12,240,16,12,12,5,4,10,1,0,7
8475,42,1,1,1,1,157243,1608,120,98,20,2,1582,1,2,1,0,22,0,15,0,0
4370,49,0,1,1,3,43482,88,228,83,18,1,32,6,3,28,2,0,4,3,0,8
10573,62,0,0,0,0,62551,421,223,27,125,16,98,134,21,27,6,7,4,1,1,9
3712,56,0,0,0,0,52332,259,305,63,212,5,33,7,0,2,3,2,6,1,1,7
6637,27,0,0,0,0,66951,1117,239,46,277,162,305,173,76,124,3,4,7,1,0,4
3152,58,0,1,1,2,26091,89,124,84,15,10,19,8,17,20,2,1,3,3,0,7
5610,50,0,1,1,2,33456,36,69,58,7,3,10,8,1,7,1,0,3,2,0,8
6460,33,0,1,1,1,28718,57,351,78,12,4,6,11,8,16,2,0,3,2,0,10
1349,45,0,1,1,2,50447,148,69,4,85,7,24,2,3,27,3,1,3,1,0,9
1880,56,1,1,1,2,53537,93,150,17,81,0,6,0,0,6,2,1,3,2,0,7
641,48,0,0,1,1,52074,119,86,77,59,0,12,0,0,48,2,2,2,1,1,6
8717,40,1,1,1,1,80427,1835,655,56,1149,71,449,69,71,26,11,8,8,1,0,16
10314,67,1,1,0,0,83837,1318,560,79,847,66,119,86,89,111,9,10,5,1,2,13
10854,45,1,1,1,2,38853,45,37,90,29,0,14,0,0,2,2,0,3,2,0,9
10492,56,0,1,1,3,38285,10,5,96,2,0,5,2,0,1,0,0,3,1,0,2
6935,64,2,1,0,0,78497,978,210,44,207,26,447,75,0,223,5,7,12,1,1,7
7698,39,1,1,1,1,51650,191,49,81,152,3,22,2,5,7,4,1,4,1,0,9
3559,27,2,1,1,1,16248,57,50,77,12,11,10,3,12,9,2,1,3,3,0,8
10562,69,1,1,0,0,66835,1033,274,21,620,26,195,34,17,141,6,4,13,1,0,8
10796,31,1,1,1,1,30477,66,158,16,47,1,6,0,0,12,1,1,3,1,0,7
2563,54,2,1,0,0,28249,43,14,80,1,9,7,2,14,10,2,0,3,1,0,8
3518,32,0,1,1,1,25271,50,571,45,10,1,18,10,4,7,1,1,2,1,0,10
5823,45,1,0,1,1,32303,39,113,63,35,0,2,0,0,2,1,0,4,2,0,6
3934,49,0,1,1,1,61286,608,331,34,356,0,107,19,9,117,7,1,8,2,0,12
6982,39,0,1,0,0,74068,1581,467,14,783,30,537,140,76,15,4,10,9,1,0,6
6431,51,1,1,1,2,45759,68,491,13,42,1,18,3,0,4,2,0,3,2,0,9
9733,37,2,1,1,1,24882,80,658,52,1,4,10,29,0,36,1,1,2,1,1,7
5602,26,1,1,0,0,66973,1282,408,98,466,22,432,147,113,102,8,7,12,1,0,11
1324,27,0,1,1,1,38872,91,395,93,23,3,21,3,19,22,3,0,3,2,0,11
326,42,0,1,1,2,51148,315,496,38,235,6,45,8,9,12,5,1,6,4,0,11
7224,38,0,1,1,2,31353,31,182,24,10,0,10,3,1,7,1,1,2,2,0,9
6999,35,1,1,0,0,69661,834,47,80,656,16,106,32,16,8,7,3,12,1,0,10
9938,61,0,1,0,0,80067,1600,283,82,519,17,813,27,173,51,4,6,6,1,1,6
6422,61,0,1,0,0,86718,1270,528,20,344,189,482,50,33,172,5,6,5,1,0,7
3182,42,1,0,1,2,46854,263,90,81,96,1,79,7,1,79,5,1,3,6,1,13
7300,63,0,0,1,1,69142,535,0,50,448,4,34,6,4,39,8,1,7,3,1,13
10424,47,0,0,0,0,75922,1295,202,60,265,138,553,224,23,92,4,4,9,1,0,5
8727,37,0,0,1,1,63693,1150,258,63,587,43,337,42,87,54,11,6,9,3,0,17
2798,38,1,1,0,0,102160,1240,604,54,763,29,138,76,176,58,7,9,10,0,3,11
1030,50,1,0,1,2,40637,38,347,72,22,0,13,0,0,3,1,0,3,2,0,8
624,31,1,0,0,0,18890,35,596,5,6,4,1,7,2,15,0,1,2,1,1,6
5176,27,0,1,1,1,29604,53,203,88,7,6,13,7,6,14,1,0,3,1,1,10
5552,52,1,0,1,2,48721,293,412,50,81,18,113,47,13,21,4,2,5,6,0,10
868,49,0,1,1,1,44794,65,21,99,54,0,7,0,0,4,2,0,3,1,0,8
380,61,0,0,1,1,64497,1804,657,17,1170,48,320,42,32,192,11,4,9,5,1,19
2677,59,0,1,1,1,46097,241,455,11,72,24,68,65,4,8,3,1,6,5,0,7
6521,61,0,1,0,0,77972,1101,103,18,613,22,319,33,102,12,4,6,9,1,0,5
6927,47,1,1,1,2,44377,264,632,70,224,0,30,0,0,10,5,1,5,8,0,13
2877,41,1,1,1,2,46014,541,524,21,410,0,59,19,9,44,7,1,8,10,0,14
0,30,0,1,0,0,70951,1198,421,66,239,10,554,254,87,54,3,4,9,1,0,4
1584,38,0,1,1,1,41443,482,89,79,171,7,171,25,19,89,8,1,5,6,0,16
7264,37,2,0,1,3,52195,17,48,2,12,0,4,0,0,1,1,0,2,1,0,9
6274,67,1,1,0,0,83790,1615,226,81,1076,16,417,42,48,16,8,10,6,1,2,11
1377,61,1,0,1,1,44551,285,302,24,182,4,33,0,0,66,4,1,5,2,0,11
454,35,0,1,1,1,69508,1135,592,48,824,32,162,42,32,43,11,4,11,2,0,17
1755,27,2,1,1,1,45204,114,79,93,30,11,25,29,1,18,1,1,4,1,0,4
2075,46,0,1,0,0,72460,1047,227,56,377,10,540,80,30,10,3,5,7,1,0,4
4785,45,1,1,1,2,77622,714,76,3,520,7,154,19,0,14,6,3,11,2,0,9
9076,35,1,1,1,1,30732,185,540,44,155,1,25,0,1,3,4,1,4,4,0,12
7079,53,0,0,1,1,63887,1245,659,38,897,23,207,15,11,92,9,6,12,5,0,15
4653,37,0,1,1,1,42011,189,460,46,131,0,16,2,1,39,3,1,4,4,0,11
7375,39,0,1,1,1,51369,576,612,84,297,7,79,0,11,182,8,2,4,2,0,16
709,63,0,0,1,1,51537,1103,567,27,787,20,204,0,0,92,2,2,11,3,0,10
460,43,1,1,0,0,79930,1753,690,72,792,86,740,67,51,17,3,5,8,1,0,5
3726,29,1,1,1,1,34320,17,133,66,4,1,9,3,0,0,1,0,2,1,0,9
6798,49,0,0,1,2,37070,433,466,30,231,7,137,4,15,39,5,1,8,9,0,12
5341,53,2,0,1,1,81975,1588,540,2,983,76,184,180,138,27,6,3,4,1,1,13
1606,44,0,1,1,1,38590,22,410,65,3,1,8,4,3,3,1,0,2,1,0,9
9617,64,0,0,0,0,15033,19,74,37,0,4,5,6,0,4,1,0,3,1,0,4
3233,50,1,1,1,1,62745,1117,463,89,562,21,464,28,10,32,7,8,11,3,0,12
89,40,2,1,1,1,22212,69,202,49,5,9,20,6,8,21,2,0,4,2,0,8
2936,33,1,1,1,1,23661,23,207,46,18,0,4,0,0,1,1,0,3,1,0,8
9449,57,1,0,1,1,79761,605,268,32,415,5,124,15,35,11,5,2,11,1,0,8
7297,42,0,0,1,1,7500,57,185,54,5,3,10,12,7,20,3,1,3,4,0,10
313,47,0,0,0,0,73455,2088,244,98,901,61,757,186,163,20,6,5,10,1,1,9
9940,57,0,1,1,1,64961,1009,553,97,382,114,276,75,124,38,6,4,4,2,0,9
10735,44,0,0,1,1,22804,26,333,75,14,1,7,2,1,1,2,0,2,1,0,11
9529,25,0,1,0,0,73687,1627,213,8,559,153,503,218,13,181,3,9,9,1,1,5
6439,57,0,1,1,1,61074,1102,681,37,789,0,133,0,28,152,11,5,8,7,0,18
7411,51,1,1,1,2,31686,17,24,31,11,0,5,0,0,1,1,0,3,2,0,7
2176,43,0,1,1,1,80134,1690,405,40,1218,16,272,104,0,80,5,3,6,2,3,11
9265,62,0,1,1,1,75027,1390,536,74,925,64,179,133,12,77,9,4,6,2,0,14
8867,27,1,1,0,0,67546,2126,667,90,864,134,768,150,38,172,4,10,5,1,0,7
8932,46,1,1,1,1,65176,1531,608,57,960,28,183,220,70,70,9,6,6,4,0,15
10236,40,1,0,1,1,31160,64,286,59,16,3,25,6,1,13,2,0,3,2,0,10
6340,30,0,0,1,1,29938,26,245,52,3,3,7,0,2,11,1,0,3,2,0,7
10089,41,0,0,0,0,102692,1112,450,5,168,148,444,32,172,148,6,9,13,1,4,8
2227,57,2,1,0,0,26490,210,645,92,45,47,52,21,20,25,3,1,5,2,0,9
10992,48,0,1,1,2,75702,1148,669,77,650,28,353,45,42,30,4,6,11,5,0,12
5304,41,1,0,1,1,30899,33,624,35,24,0,8,0,0,1,1,0,3,2,0,7
309,54,1,1,1,1,63342,1101,621,48,918,21,118,13,10,21,8,3,5,3,1,14
3406,51,0,0,1,1,45989,322,615,97,138,33,87,28,24,12,3,2,7,4,0,6
2661,51,0,0,1,2,18701,44,390,95,12,4,2,10,6,10,2,0,4,4,0,7
3153,58,1,0,1,3,40737,17,203,24,11,0,4,0,0,2,1,0,2,1,0,9
10264,36,0,0,1,1,15287,31,627,60,1,2,8,4,3,13,1,1,2,2,1,8
1184,47,1,0,1,2,69674,845,403,46,554,41,215,11,0,24,10,2,10,3,0,15
4200,45,1,1,1,1,44159,275,12,85,167,2,62,24,13,7,4,1,6,4,0,9
9396,37,1,1,1,1,37717,25,583,31,9,0,6,4,1,5,1,0,2,1,0,10
2387,63,1,1,1,2,43776,275,511,9,177,2,71,3,2,20,5,2,4,6,0,13
6690,49,1,1,1,2,38179,90,472,30,38,4,22,4,2,20,3,1,3,4,0,10
1225,52,0,1,0,0,80124,1495,3,47,483,84,398,205,84,241,3,7,8,1,1,4
9703,45,1,1,1,2,38097,184,622,70,77,2,35,0,1,69,3,2,2,4,1,10
291,45,0,1,0,0,72940,981,375,13,182,74,298,162,149,116,3,3,6,1,0,4
4557,45,0,1,1,1,22070,67,268,11,10,7,19,8,2,21,2,2,2,2,0,8
2379,62,0,0,0,0,69267,1635,645,31,778,44,499,95,73,146,3,4,5,2,0,10
5726,32,1,0,1,1,31788,60,101,15,16,7,23,0,8,6,3,0,4,3,0,8
3066,40,1,1,1,1,61905,231,145,2,167,0,43,6,2,13,4,2,4,2,0,9
6336,55,0,1,1,2,29315,48,84,55,13,2,14,8,7,4,2,0,4,4,0,8
10967,52,0,0,1,2,33378,99,508,38,33,6,40,3,7,10,2,0,4,3,0,9
2304,52,1,1,1,1,66313,770,286,86,625,7,99,10,22,7,6,3,12,2,0,10
3445,59,0,0,0,0,60714,957,528,56,216,162,224,101,92,162,7,4,10,2,0,12
7828,34,1,1,0,0,77882,818,60,29,68,129,396,188,22,15,3,3,5,1,0,4
3762,29,1,0,0,0,69867,925,453,30,196,0,512,33,130,54,3,5,8,1,1,4
4391,47,1,0,1,1,63841,908,434,64,635,15,100,20,7,131,9,3,9,1,0,15
4669,34,2,1,1,1,24480,102,503,46,4,19,9,28,25,17,3,0,4,3,0,10
10144,39,0,1,1,1,51369,576,612,84,297,7,79,0,11,182,8,2,4,2,0,16
8652,69,0,1,0,0,37760,317,667,20,84,5,38,150,12,28,4,1,6,2,0,11
1672,41,1,1,1,1,65640,461,120,74,204,7,149,20,15,66,5,1,8,1,0,7
8962,40,1,1,1,2,44319,37,73,18,26,0,8,0,0,3,2,0,3,2,0,7
9974,41,0,1,1,1,30631,70,352,75,15,6,20,4,5,20,3,1,2,1,0,10
10983,63,0,1,0,0,75278,930,516,17,304,98,230,150,74,74,6,3,13,1,0,9
8148,59,1,1,1,2,50898,859,537,88,285,28,242,55,114,135,6,2,12,13,0,11
10102,49,0,0,0,0,79946,1478,48,19,395,183,565,166,141,28,5,11,5,1,0,8
4697,66,1,0,0,0,35416,390,381,62,248,3,81,4,3,51,7,1,5,3,0,15
9262,31,2,1,0,0,32414,52,360,11,20,6,5,0,9,12,1,0,3,1,1,8
7254,46,0,1,1,1,38361,137,184,74,39,0,56,20,8,14,3,1,3,3,0,10
4543,35,0,1,0,0,82497,1919,606,32,777,129,573,216,21,203,2,7,9,1,1,6
4927,44,0,1,1,2,16626,68,165,76,8,3,22,21,1,13,3,0,3,3,0,12
10451,50,0,1,1,2,29672,25,474,6,9,1,3,0,4,8,0,0,3,1,0,6
2926,63,1,1,1,1,55951,1374,675,62,1241,0,80,0,13,40,3,6,11,3,2,11
2874,27,2,0,1,1,35388,32,479,20,6,4,7,4,3,8,1,0,3,1,0,8
9738,29,1,1,1,1,42386,100,532,43,65,4,16,0,4,11,3,0,3,1,0,11
7119,33,0,0,0,0,68627,825,533,45,395,15,263,60,54,38,2,3,6,1,0,3
3924,50,1,0,1,1,57912,916,104,34,801,0,80,0,0,35,8,3,12,5,1,13
5827,57,0,0,1,2,35246,62,74,53,36,0,12,2,2,10,3,1,3,4,0,8
5596,59,2,1,1,1,58821,728,260,44,513,14,154,19,0,28,9,2,9,1,0,15
10812,37,1,1,1,1,46377,90,120,89,37,0,46,4,3,0,2,1,3,1,0,6
1717,27,0,0,1,1,39747,273,77,43,80,15,93,20,13,52,5,1,4,3,0,13
9491,31,0,1,1,1,23976,66,184,68,14,1,21,2,3,25,3,1,3,3,0,10
9274,54,1,1,0,0,80950,1213,458,44,525,147,112,219,147,63,6,7,9,1,1,8
6609,49,0,0,0,0,27038,107,649,64,1,26,25,17,23,15,3,0,3,1,0,12
6963,68,0,0,0,0,77457,1157,116,85,675,11,400,15,45,11,2,5,10,1,1,3
4440,51,1,1,1,1,64100,546,292,93,509,0,27,0,0,10,8,3,6,1,1,15
1379,23,1,1,0,0,42670,241,428,12,154,2,46,20,4,15,4,2,4,1,0,8
10032,39,0,0,1,1,12571,53,162,86,3,5,14,2,12,17,3,1,3,4,0,9
